item_id,good_sentence,bad_sentence,good_human_score,bad_human_score
1,The actor won the award.,The actor won the battle.,5.8,2.6
2,The anchorman told the news.,The anchorman told the parable.,6.75,3.0
3,The animal found the food.,The animal found the map.,5.85,2.0
4,The ant stacked the supply.,The ant stacked the suitcase.,4.4,1.95
5,The archeologist examined the epigraph.,The archeologist examined the dog.,5.5,1.6
6,The archer released the arrow.,The archer released the interview.,6.6,2.5
7,The artist assembled the art.,The artist assembled the tent.,6.35,2.0
8,The artist hung the picture.,The artist hung the motorcycle.,5.5,1.95
9,The assistant helped the cook.,The assistant helped the soldier.,5.25,2.8
10,The astronaut reached the moon.,The astronaut reached the baker.,5.4,2.35
11,The astronaut touched the ground.,The astronaut touched the guitar.,4.8,2.0
12,The athlete celebrated the victory.,The athlete celebrated the marriage.,6.65,3.1
13,The athlete started the match.,The athlete started the vacuum.,4.15,3.45
14,The athlete won the cup.,The athlete won the toy.,5.15,3.15
15,The author signed the book.,The author signed the check.,6.15,3.4
16,The baker gathered the bread.,The baker gathered the soldier.,6.3,1.0
17,The baker sold the bread.,The baker sold the stroller.,6.45,2.05
18,The bank assigned the code.,The bank assigned the book.,6.15,2.1
19,The barber cut the hair.,The barber cut the cake.,6.65,2.1
20,The barber used the razor.,The barber used the microscope.,6.55,1.2
21,The bartender handed the drink.,The bartender handed the lancet.,6.55,1.4
22,The bartender shook the drink.,The bartender shook the flag.,6.25,2.05
23,The beautician spread the cream.,The beautician spread the paint.,5.2,2.9
24,The biker started the motorcycle.,The biker started the lesson.,6.15,3.4
25,The biker wore the helmet.,The biker wore the swimsuit.,6.8,2.1
26,The billionaire donated the money.,The billionaire donated the book.,6.2,4.15
27,The binman collected the trash.,The binman collected the flower.,5.35,3.05
28,The biologist used the microscope.,The biologist used the razor.,6.7,3.3
29,The blacksmith poured the metal.,The blacksmith poured the wine.,6.5,1.6
30,The bodybuilder lifted the weight.,The bodybuilder lifted the flag.,6.45,3.1
31,The boss assigned the job.,The boss assigned the medal.,6.75,3.0
32,The boss promised the promotion.,The boss promised the heaven.,5.95,2.25
