item_id,good_sentence,bad_sentence,good_human_score,bad_human_score,trial_type,voice
1,The raider caught the illness.,The illness caught the raider.,5.545454545454546,3.0833333333333335,AI,active
2,The illness was caught by the raider.,The raider was caught by the illness.,5.333333333333333,2.5416666666666665,AI,passive
3,The marauder contracted the disease.,The disease contracted the marauder.,5.68,1.44,AI,active
4,The disease was contracted by the marauder.,The marauder was contracted by the disease.,5.875,1.8181818181818181,AI,passive
5,The convict dreaded the prison.,The prison dreaded the convict.,6.208333333333333,4.318181818181818,AI,active
6,The prison was dreaded by the convict.,The convict was dreaded by the prison.,5.5,2.925925925925926,AI,passive
7,The criminal feared the jail.,The jail feared the criminal.,6.64,1.6666666666666667,AI,active
8,The jail was feared by the criminal.,The criminal was feared by the jail.,4.363636363636363,3.2,AI,passive
9,The prostitute squandered the cash.,The cash squandered the prostitute.,6.703703703703703,1.2916666666666667,AI,active
10,The cash was squandered by the prostitute.,The prostitute was squandered by the cash.,6.0,2.2916666666666665,AI,passive
11,The call girl wasted the money.,The money wasted the call girl.,6.0476190476190474,1.0909090909090908,AI,active
12,The money was wasted by the call girl.,The call girl was wasted by the money.,6.434782608695652,1.3461538461538463,AI,passive
13,The adventurer requested the beverage.,The beverage requested the adventurer.,6.333333333333333,1.44,AI,active
14,The beverage was requested by the adventurer.,The adventurer was requested by the beverage.,6.136363636363637,1.1666666666666667,AI,passive
15,The undertaker prepared the funeral.,The funeral prepared the undertaker.,6.44,1.68,AI,active
16,The funeral was prepared by the undertaker.,The undertaker was prepared by the funeral.,6.041666666666667,1.4545454545454546,AI,passive
17,The mortician arranged the burial.,The burial arranged the mortician.,6.818181818181818,1.391304347826087,AI,active
18,The burial was arranged by the mortician.,The mortician was arranged by the burial.,6.75,1.6111111111111112,AI,passive
19,The supervisor supplied the liquor.,The liquor supplied the supervisor.,6.130434782608695,1.6666666666666667,AI,active
20,The liquor was supplied by the supervisor.,The supervisor was supplied by the liquor.,5.380952380952381,1.0454545454545454,AI,passive
21,The overseer provided the alcohol.,The alcohol provided the overseer.,5.12,1.5,AI,active
22,The alcohol was provided by the overseer.,The overseer was provided by the alcohol.,5.695652173913044,1.1304347826086956,AI,passive
23,The troublemaker crashed the car.,The car crashed the troublemaker.,6.818181818181818,1.45,AI,active
24,The car was crashed by the troublemaker.,The troublemaker was crashed by the car.,5.96,2.5454545454545454,AI,passive
25,The hooligan wrecked the vehicle.,The vehicle wrecked the hooligan.,6.956521739130435,2.5,AI,active
26,The vehicle was wrecked by the hooligan.,The hooligan was wrecked by the vehicle.,6.222222222222222,3.590909090909091,AI,passive
27,The repairman fixed the tap.,The tap fixed the repairman.,6.791666666666667,1.2727272727272727,AI,active
28,The tap was fixed by the repairman.,The repairman was fixed by the tap.,6.48,1.24,AI,passive
29,The handyman repaired the faucet.,The faucet repaired the handyman.,6.88,1.3181818181818181,AI,active
30,The faucet was repaired by the handyman.,The handyman was repaired by the faucet.,6.833333333333333,1.2083333333333333,AI,passive
31,The secretary organized the desk.,The desk organized the secretary.,6.863636363636363,1.24,AI,active
32,The desk was organized by the secretary.,The secretary was organized by the desk.,6.791666666666667,1.375,AI,passive
33,The receptionist tidied the table.,The table tidied the receptionist.,6.590909090909091,1.3043478260869565,AI,active
34,The table was tidied by the receptionist.,The receptionist was tidied by the table.,6.6521739130434785,1.56,AI,passive
35,The pilot steered the airplane.,The airplane steered the pilot.,6.851851851851852,1.380952380952381,AI,active
36,The airplane was steered by the pilot.,The pilot was steered by the airplane.,6.954545454545454,1.8695652173913044,AI,passive
37,The aviator maneuvered the jet.,The jet maneuvered the aviator.,6.5,1.5555555555555556,AI,active
38,The jet was maneuvered by the aviator.,The aviator was maneuvered by the jet.,6.954545454545454,1.434782608695652,AI,passive
39,The chef sauteed the squid.,The squid sauteed the chef.,6.0476190476190474,1.0,AI,active
40,The squid was sauteed by the chef.,The chef was sauteed by the squid.,6.260869565217392,1.4615384615384615,AI,passive
41,The cook grilled the octopus.,The octopus grilled the cook.,6.7727272727272725,1.25,AI,active
42,The octopus was grilled by the cook.,The cook was grilled by the octopus.,6.791666666666667,1.04,AI,passive
43,The ship captain promised the triumph.,The triumph promised the ship captain.,4.954545454545454,1.380952380952381,AI,active
44,The triumph was promised by the ship captain.,The ship captain was promised by the triumph.,5.444444444444445,2.2,AI,passive
45,The skipper guaranteed the victory.,The victory guaranteed the skipper.,5.833333333333333,1.5416666666666667,AI,active
46,The victory was guaranteed by the skipper.,The skipper was guaranteed by the victory.,5.56,2.2857142857142856,AI,passive
47,The milliner adorned the fedora.,The fedora adorned the milliner.,5.9,3.2,AI,active
48,The fedora was adorned by the milliner.,The milliner was adorned by the fedora.,5.409090909090909,2.8636363636363638,AI,passive
49,The hatter decorated the bowler.,The bowler decorated the hatter.,3.7916666666666665,2.7777777777777777,AI,active
50,The bowler was decorated by the hatter.,The hatter was decorated by the bowler.,3.4166666666666665,3.590909090909091,AI,passive
51,The serviceman hoisted the flag.,The flag hoisted the serviceman.,6.68,1.2727272727272727,AI,active
52,The flag was hoisted by the serviceman.,The serviceman was hoisted by the flag.,6.863636363636363,1.25,AI,passive
53,The soldier raised the banner.,The banner raised the soldier.,6.826086956521739,1.3478260869565217,AI,active
54,The banner was raised by the soldier.,The soldier was raised by the banner.,6.8,1.5454545454545454,AI,passive
55,The agent failed the mission.,The mission failed the agent.,6.7727272727272725,1.5,AI,active
56,The mission was failed by the agent.,The agent was failed by the mission.,6.35,2.1818181818181817,AI,passive
57,The operative blew the assignment.,The assignment blew the operative.,6.5,2.111111111111111,AI,active
58,The assignment was blown by the operative.,The operative was blown by the assignment.,5.875,2.6818181818181817,AI,passive
59,The anchorman garbled the expression.,The expression garbled the anchorman.,6.25,2.6818181818181817,AI,active
60,The expression was garbled by the anchorman.,The anchorman was garbled by the expression.,6.181818181818182,2.1666666666666665,AI,passive
61,The announcer mispronounced the word.,The word mispronounced the announcer.,6.708333333333333,1.24,AI,active
62,The word was mispronounced by the announcer.,The announcer was mispronounced by the word.,6.7727272727272725,1.375,AI,passive
63,The author finished the novel.,The novel finished the author.,7.0,1.48,AI,active
64,The novel was finished by the author.,The author was finished by the novel.,6.681818181818182,1.1363636363636365,AI,passive
65,The writer completed the book.,The book completed the writer.,6.954545454545454,1.6521739130434783,AI,active
66,The book was completed by the writer.,The writer was completed by the book.,6.958333333333333,1.5294117647058822,AI,passive
67,The financier sponsored the project.,The project sponsored the financier.,6.608695652173913,1.9615384615384615,AI,active
68,The project was sponsored by the financier.,The financier was sponsored by the project.,6.428571428571429,2.227272727272727,AI,passive
69,The banker funded the program.,The program funded the banker.,6.636363636363637,3.5833333333333335,AI,active
70,The program was funded by the banker.,The banker was funded by the program.,6.62962962962963,4.25,AI,passive
71,The tourist exited the bus.,The bus exited the tourist.,6.9,1.2727272727272727,AI,active
72,The bus was exited by the tourist.,The tourist was exited by the bus.,5.2272727272727275,2.7222222222222223,AI,passive
73,The vacationer left the shuttle.,The shuttle left the vacationer.,6.6521739130434785,3.8333333333333335,AI,active
74,The shuttle was left by the vacationer.,The vacationer was left by the shuttle.,4.722222222222222,6.136363636363637,AI,passive
75,The dietitian loathed the jam.,The jam loathed the dietitian.,6.0,1.0454545454545454,AI,active
76,The jam was loathed by the dietitian.,The dietitian was loathed by the jam.,6.0,1.72,AI,passive
77,The nutritionist detested the marmalade.,The marmalade detested the nutritionist.,6.181818181818182,2.130434782608696,AI,active
78,The marmalade was detested by the nutritionist.,The nutritionist was detested by the marmalade.,5.565217391304348,1.64,AI,passive
79,The scientist discovered the cure.,The cure discovered the scientist.,6.863636363636363,1.4545454545454546,AI,active
80,The cure was discovered by the scientist.,The scientist was discovered by the cure.,7.0,1.35,AI,passive
81,The researcher found the remedy.,The remedy found the researcher.,6.458333333333333,1.9259259259259258,AI,active
82,The remedy was found by the researcher.,The researcher was found by the remedy.,6.791666666666667,1.4545454545454546,AI,passive
83,The doctor closed the school.,The school closed the doctor.,4.318181818181818,1.0526315789473684,AI,active
84,The school was closed by the doctor.,The doctor was closed by the school.,3.76,1.1818181818181819,AI,passive
85,The maid lifted the cushion.,The cushion lifted the maid.,6.916666666666667,1.9444444444444444,AI,active
